"Date","Price","Open","High","Low","Vol.","Change %"
"06/30/2023","4,450.38","4,422.44","4,458.48","4,422.44","","1.23%"
"06/29/2023","4,396.44","4,374.94","4,398.39","4,371.97","","0.45%"
"06/28/2023","4,376.86","4,367.48","4,390.35","4,360.22","","-0.04%"
"06/27/2023","4,378.41","4,337.36","4,384.42","4,335.00","","1.15%"
"06/26/2023","4,328.82","4,344.84","4,362.06","4,328.08","","-0.45%"
"06/23/2023","4,348.33","4,354.17","4,366.55","4,341.34","","-0.77%"
"06/22/2023","4,381.89","4,355.40","4,382.25","4,351.82","","0.37%"
"06/21/2023","4,365.69","4,380.01","4,386.22","4,360.14","","-0.52%"
"06/20/2023","4,388.71","4,396.11","4,400.15","4,367.19","","-0.47%"
"06/16/2023","4,409.59","4,440.95","4,448.47","4,407.44","","-0.37%"
"06/15/2023","4,425.84","4,365.33","4,439.20","4,362.60","","1.22%"
"06/14/2023","4,372.59","4,366.29","4,391.82","4,337.85","","0.08%"
"06/13/2023","4,369.01","4,352.61","4,375.37","4,349.31","","0.69%"
"06/12/2023","4,338.93","4,308.32","4,340.13","4,304.37","","0.93%"
"06/09/2023","4,298.86","4,304.88","4,322.62","4,291.70","","0.11%"
"06/08/2023","4,293.93","4,268.69","4,298.01","4,261.07","","0.62%"
"06/07/2023","4,267.52","4,285.47","4,299.19","4,263.96","","-0.38%"
"06/06/2023","4,283.85","4,271.34","4,288.33","4,263.09","","0.24%"
"06/05/2023","4,273.79","4,282.99","4,299.28","4,266.82","","-0.20%"
"06/02/2023","4,282.37","4,241.01","4,290.67","4,241.01","","1.45%"
"06/01/2023","4,221.02","4,183.03","4,232.43","4,171.64","","0.99%"
"05/31/2023","4,179.83","4,190.74","4,195.44","4,166.15","","-0.61%"
"05/30/2023","4,205.52","4,226.71","4,231.10","4,192.18","","0.00%"
"05/26/2023","4,205.45","4,156.16","4,212.87","4,156.16","","1.30%"
"05/25/2023","4,151.28","4,155.71","4,165.74","4,129.73","","0.88%"
"05/24/2023","4,115.24","4,132.96","4,132.96","4,103.98","","-0.73%"
"05/23/2023","4,145.58","4,176.80","4,185.68","4,142.54","","-1.12%"
"05/22/2023","4,192.63","4,190.78","4,209.22","4,179.68","","0.02%"
"05/19/2023","4,191.98","4,204.15","4,212.91","4,180.20","","-0.14%"
"05/18/2023","4,198.05","4,157.68","4,202.20","4,153.50","","0.94%"
"05/17/2023","4,158.77","4,122.85","4,164.67","4,113.62","","1.19%"
"05/16/2023","4,109.90","4,127.95","4,135.54","4,109.86","","-0.64%"
"05/15/2023","4,136.28","4,126.65","4,141.25","4,110.27","","0.30%"
"05/12/2023","4,124.08","4,138.54","4,143.74","4,099.12","","-0.16%"
"05/11/2023","4,130.62","4,132.24","4,132.80","4,109.29","","-0.17%"
"05/10/2023","4,137.64","4,143.74","4,154.28","4,098.92","","0.45%"
"05/09/2023","4,119.17","4,124.25","4,130.35","4,116.65","","-0.46%"
"05/08/2023","4,138.12","4,136.98","4,142.30","4,123.81","","0.05%"
"05/05/2023","4,136.25","4,084.73","4,147.02","4,084.73","","1.85%"
"05/04/2023","4,061.22","4,082.55","4,082.61","4,048.28","","-0.72%"
"05/03/2023","4,090.75","4,122.25","4,148.30","4,088.86","","-0.70%"
"05/02/2023","4,119.58","4,164.10","4,164.10","4,089.72","","-1.16%"
"05/01/2023","4,167.87","4,166.79","4,186.92","4,164.12","","-0.04%"
"04/28/2023","4,169.48","4,129.63","4,170.06","4,127.18","","0.83%"
"04/27/2023","4,135.35","4,075.29","4,138.24","4,075.29","","1.96%"
"04/26/2023","4,055.99","4,087.78","4,089.67","4,049.35","","-0.38%"
"04/25/2023","4,071.63","4,126.43","4,126.43","4,071.38","","-1.58%"
"04/24/2023","4,137.04","4,132.07","4,142.41","4,117.77","","0.09%"
"04/21/2023","4,133.52","4,132.14","4,138.02","4,113.86","","0.09%"
"04/20/2023","4,129.79","4,130.48","4,148.57","4,114.57","","-0.60%"
"04/19/2023","4,154.52","4,139.33","4,162.57","4,134.49","","-0.01%"
"04/18/2023","4,154.87","4,164.26","4,169.48","4,140.36","","0.09%"
"04/17/2023","4,151.32","4,137.17","4,151.72","4,123.18","","0.33%"
"04/14/2023","4,137.64","4,140.11","4,163.19","4,113.20","","-0.21%"
